NAME : egl-g1-B
VERTICES : 255
DEPOT : 1
74 75 543 543
75 73 588 588
42 75 2479 2479
75 76 3247 3247
76 77 1169 1169
77 40 1022 1022
76 78 3457 3457
78 79 342 342
78 80 4719 4719
80 81 212 212
81 72 283 283
81 82 1725 1725
82 71 1274 1274
82 83 422 422
83 84 1671 1671
84 80 1294 1294
84 85 2384 2384
85 86 1607 1607
84 87 1479 1479
86 87 1041 1041
86 88 8010 8010
88 89 602 602
89 90 895 895
255 89 883 883
83 91 2892 2892
91 92 450 450
92 93 863 863
93 94 509 509
94 92 393 393
68 94 2070 2070
94 95 2463 2463
68 95 1390 1390
3 95 5069 5069
3 96 3831 3831
96 97 1948 1948
93 97 3062 3062
91 99 762 762
98 99 4437 4437
97 98 400 400
96 100 3661 3661
100 2 1562 1562
87 101 1423 1423
101 102 715 715
102 103 572 572
103 104 2681 2681
104 105 1298 1298
105 106 1451 1451
105 107 982 982
107 108 497 497
108 106 630 630
108 109 1268 1268
107 109 1078 1078
109 110 1724 1724
102 111 436 436
111 103 212 212
101 112 3207 3207
112 113 580 580
113 114 1204 1204
111 114 2014 2014
104 114 3092 3092
113 115 2331 2331
99 112 2533 2533
115 99 1971 1971
115 116 304 304
116 117 4996 4996
106 118 1300 1300
117 118 2279 2279
118 119 3922 3922
117 119 691 691
119 120 7060 7060
117 121 3157 3157
121 122 2760 2760
122 123 843 843
116 123 4529 4529
122 124 910 910
123 124 542 542
124 125 1486 1486
125 126 490 490
126 127 1720 1720
98 127 3483 3483
127 128 904 904
128 129 304 304
129 130 708 708
130 131 2233 2233
131 100 506 506
132 100 572 572
132 131 305 305
132 133 2066 2066
133 134 272 272
133 135 1588 1588
135 136 1753 1753
136 137 1378 1378
137 130 547 547
137 138 224 224
138 139 251 251
138 129 424 424
139 128 589 589
139 140 772 772
140 141 1138 1138
140 142 394 394
141 142 1308 1308
142 143 9647 9647
143 144 2703 2703
143 145 1451 1451
145 146 3385 3385
136 146 604 604
146 147 1812 1812
135 147 1406 1406
147 148 1533 1533
148 149 697 697
145 148 796 796
141 150 547 547
150 126 842 842
150 125 881 881
150 151 364 364
255 150 477 477
151 152 736 736
152 125 971 971
151 153 1253 1253
152 153 636 636
153 154 500 500
152 155 2376 2376
121 155 4308 4308
155 156 2120 2120
156 157 1295 1295
154 157 3174 3174
154 158 1764 1764
158 159 334 334
158 160 1652 1652
159 160 1090 1090
159 161 5318 5318
156 162 1937 1937
162 120 528 528
162 163 2444 2444
157 163 2208 2208
157 161 4163 4163
161 164 650 650
164 165 783 783
161 165 567 567
165 166 1114 1114
166 167 1191 1191
167 163 638 638
167 168 906 906
163 168 1474 1474
164 169 6561 6561
120 170 3454 3454
170 171 971 971
171 172 886 886
172 173 430 430
171 255 1041 1041
170 174 4804 4804
166 175 696 696
175 176 859 859
168 176 271 271
176 177 1324 1324
177 175 1596 1596
166 178 3419 3419
178 179 1982 1982
179 180 2073 2073
180 177 1362 1362
180 181 957 957
177 181 2086 2086
181 182 748 748
182 174 1231 1231
183 179 1316 1316
179 184 1731 1731
178 185 2259 2259
185 186 3109 3109
186 187 1269 1269
187 188 3112 3112
190 194 3251 3251
194 195 376 376
195 196 292 292
195 197 301 301
186 197 3261 3261
197 198 309 309
196 198 206 206
198 199 3240 3240
196 199 3076 3076
199 200 2518 2518
200 201 950 950
200 202 937 937
201 202 402 402
202 203 1544 1544
203 204 2782 2782
203 251 5204 5204
252 204 1611 1611
204 205 2263 2263
201 206 883 883
206 205 2489 2489
205 207 1895 1895
207 208 2848 2848
209 210 1518 1518
210 211 364 364
210 212 4722 4722
207 212 5738 5738
206 213 1700 1700
213 214 1250 1250
213 215 1561 1561
214 215 1265 1265
214 216 6400 6400
216 217 2285 2285
218 219 1659 1659
219 220 1320 1320
219 216 1346 1346
215 221 4667 4667
224 225 545 545
224 226 745 745
223 225 1070 1070
223 227 1133 1133
227 228 3200 3200
223 229 2680 2680
229 230 418 418
230 231 326 326
229 231 220 220
231 232 1412 1412
232 233 4093 4093
233 234 4007 4007
233 255 354 354
232 234 7275 7275
230 235 3445 3445
235 236 1645 1645
236 237 1063 1063
236 238 1669 1669
238 193 901 901
238 239 1077 1077
239 235 1426 1426
241 242 1248 1248
242 192 403 403
242 243 1690 1690
241 243 1217 1217
243 244 1580 1580
243 245 1752 1752
244 245 620 620
244 194 1198 1198
245 246 5203 5203
246 215 1326 1326
246 247 2680 2680
247 248 2068 2068
245 248 2904 2904
248 249 624 624
249 240 876 876
249 250 1840 1840
247 250 1432 1432
250 229 812 812
222 247 2857 2857
25 1 2841 0
25 38 709 0
64 67 3301 0
66 67 4023 0
67 68 4409 0
174 183 783 0
184 185 1499 0
185 253 3422 0
184 187 1452 0
188 174 2136 0
188 189 755 0
189 190 2565 0
189 191 792 0
191 192 1231 0
191 193 1090 0
192 193 582 0
252 251 2237 0
208 209 3369 0
254 218 1829 0
221 222 532 0
222 223 695 0
221 224 1716 0
222 225 931 0
235 240 2205 0
240 241 2880 0
239 241 1392 0
212 254 775 0
217 254 381 0
END
